"subject_id","seed","mean_numerosity","appearance","first_estimate_raw","second_estimate_raw","geometric_mean_raw","first_error_raw","second_error_raw","geom_mean_error_raw","estimate_difference_raw","mean_individual_error_raw","woic_magnitude_raw","c_mean_numerosity"
"85939",30,92,"samePos_diffObj",85,124,102.664502141685,7,32,10.6645021416848,39,19.5,8.83549785831515,-7.34375
"85939",31,49.625,"diffPos_sameObj",55,65,59.791303715507,5.375,15.375,10.166303715507,10,10.375,0.208696284493008,-49.71875
"85939",32,92,"samePos_sameObj",110,100,104.880884817015,18,8,12.8808848170152,10,13,0.119115182984757,-7.34375
"85939",33,135,"samePos_diffObj",135,122,128.335497817245,0,13,6.66450218275534,13,6.5,-0.164502182755342,35.65625
"85939",34,149.625,"diffPos_diffObj",145,136,140.427917452336,4.625,13.625,9.19708254766425,9,9.125,-0.0720825476642517,50.28125
"85939",35,120.625,"diffPos_diffObj",115,126,120.374415886433,5.625,5.375,0.250584113566717,11,5.5,5.24941588643328,21.28125
"85939",36,135,"samePos_diffObj",128,126,126.9960629311,7,9,8.00393706889967,2,8,-0.00393706889967405,35.65625
"85939",37,106.625,"diffPos_sameObj",100,100,100,6.625,6.625,6.62499999999996,0,6.625,4.2632564145606e-14,7.28125
"85939",38,120.625,"diffPos_sameObj",98,111,104.297650980259,22.625,9.625,16.3273490197406,13,16.125,-0.202349019740566,21.28125
"85939",39,149.625,"diffPos_diffObj",118,128,122.898331965898,31.625,21.625,26.7266680341023,10,26.625,-0.101668034102261,50.28125
"85939",40,92,"samePos_diffObj",95,109,101.759520439122,3,17,9.7595204391215,14,10,0.240479560878498,-7.34375
"85939",41,120.625,"samePos_sameObj",95,118,105.877287460531,25.625,2.625,14.7477125394686,23,14.125,-0.62271253946858,21.28125
"85939",42,92,"samePos_diffObj",100,86,92.736184954957,8,6,0.736184954957039,14,7,6.26381504504296,-7.34375
