"subject_id","seed","log_mean_numerosity","appearance","first_estimate_log","second_estimate_log","geometric_mean_log","first_error_log","second_error_log","geom_mean_error_log","partner_between"
"86861",23,4.52178857704904,"diffPos_diffObj",4.67282883446191,4.26267987704132,4.46304531026957,0.151040257412865,0.259108700007725,0.0587432667794712,4.77912349311153
"86861",24,4.35188954025364,"diffPos_diffObj",4.76217393479776,3.80666248977032,4.25769760402927,0.410284394544114,0.545227050483323,0.0941919362243775,4.27666611901606
"86861",25,4.79268655965915,"samePos_diffObj",4.91998092582813,4.49980967033027,4.70520751379595,0.127294366168975,0.292876889328885,0.0874790458632022,4.60517018598809
"86861",26,5.00813216387814,"diffPos_sameObj",4.86753445045558,4.78749174278205,4.82734719999124,0.140597713422555,0.220640421096092,0.180784963886901,5.01063529409626
"86861",27,4.79268655965915,"diffPos_diffObj",4.78749174278205,4.60517018598809,4.69544611719952,0.0051948168771041,0.187516373671058,0.09724044245963,4.29045944114839
"86861",28,4.15300647487069,"diffPos_sameObj",3.68887945411394,4.27666611901606,3.97191462377321,0.464127020756751,0.123659644145368,0.181091851097473,3.63758615972639
"86861",29,3.90449473900735,"diffPos_sameObj",4.00733318523247,3.46573590279973,3.72670880195126,0.102838446225117,0.438758836207628,0.177785937056099,3.55534806148941
"86861",30,4.52178857704904,"samePos_diffObj",4.67282883446191,4.07753744390572,4.36504691171593,0.151040257412865,0.444251133143321,0.156741665333114,4.79579054559674
"86861",31,3.90449473900735,"diffPos_sameObj",3.55534806148941,3.93182563272433,3.73885124622802,0.349146677517941,0.0273308937169712,0.165643492779334,4.04305126783455
"86861",32,4.52178857704904,"samePos_sameObj",4.44265125649032,4.02535169073515,4.2288572625072,0.0791373205587238,0.496436886313891,0.292931314541836,4.88280192258637
"86861",33,4.90527477843843,"samePos_diffObj",4.85981240436167,4.75359019110636,4.80640786617102,0.0454623740767577,0.151684587332065,0.0988669122674084,5.01063529409626
"86861",34,5.00813216387814,"diffPos_diffObj",4.93447393313069,4.91998092582813,4.92722210073781,0.073658230747446,0.0881512380500125,0.0809100631403297,4.97673374242057
"86861",35,4.79268655965915,"diffPos_diffObj",4.85203026391962,4.74493212836325,4.79818239410123,0.059343704260467,0.0477544312958997,0.00549583444208057,4.7361984483945
"86861",36,4.90527477843843,"samePos_diffObj",4.78749174278205,4.7361984483945,4.76177603041825,0.117783035656384,0.169076330043934,0.14349874802018,4.8283137373023
"86861",37,4.66931800581184,"diffPos_sameObj",4.55387689160054,4.60517018598809,4.57945172393584,0.115441114211302,0.0641478198237513,0.0898662818760032,4.97673374242057
"86861",38,4.79268655965915,"diffPos_sameObj",4.60517018598809,4.70953020131233,4.65705787736142,0.187516373671058,0.083156358346816,0.135628682297731,4.86753445045558
"86861",39,5.00813216387814,"diffPos_diffObj",4.78749174278205,4.91265488573605,4.84966954550506,0.220640421096092,0.0954772781420852,0.15846261837308,4.85203026391962
"86861",40,4.52178857704904,"samePos_diffObj",4.70048036579242,4.49980967033027,4.59905066347287,0.178691788743376,0.0219789067187754,0.0772620864238309,4.8283137373023
"86861",41,4.79268655965915,"samePos_sameObj",4.45434729625351,4.71849887129509,4.58452098803447,0.338339263405643,0.0741876883640558,0.208165571624683,4.72738781871234
